Num Units,Batch Size,Epochs,Dense Activation,drop,optimizer,"Fold Results (accuracy, precision, recall, f1)"
32,64,60,relu,0.2,Adam,"[(0.9927777777777778, 0.9928044019044168, 0.9927777777777778, 0.9927678064204101), (0.9944444444444445, 0.9944420550589214, 0.9944444444444445, 0.9944403735776504), (0.9905555555555555, 0.9906207650552584, 0.9905555555555555, 0.9905324616682073), (0.995, 0.9950212025880197, 0.995, 0.9949900412724796), (0.9944413563090606, 0.9944707967665619, 0.9944413563090606, 0.9944388335711927)]"
32,64,60,relu,0.5,Adam,"[(0.9638888888888889, 0.9651315810076703, 0.9638888888888889, 0.9635655104840498), (0.9866666666666667, 0.9868326567656551, 0.9866666666666667, 0.9866985323031031), (0.995, 0.995001429657799, 0.995, 0.9949802380730239), (0.9794444444444445, 0.979613894932882, 0.9794444444444445, 0.979380510962338), (0.9883268482490273, 0.9883703716765931, 0.9883268482490273, 0.9883310575560836)]"
32,64,100,relu,0.2,Adam,"[(0.9966666666666667, 0.9966905478930891, 0.9966666666666667, 0.9966472802691828), (0.9933333333333333, 0.9933558983820919, 0.9933333333333333, 0.9933200198036187), (0.9933333333333333, 0.9933645726351327, 0.9933333333333333, 0.9933233526725495), (0.995, 0.9950102985566575, 0.995, 0.9949907411367928), (0.9916620344635909, 0.9916542148999715, 0.9916620344635909, 0.9916493306708327)]"
32,64,100,relu,0.5,Adam,"[(0.99, 0.9900744348968311, 0.99, 0.9899918775198473), (0.9927777777777778, 0.9928182853210036, 0.9927777777777778, 0.9927576862704427), (0.9811111111111112, 0.9813355988461179, 0.9811111111111112, 0.9810255758102022), (0.9894444444444445, 0.9895090555259038, 0.9894444444444445, 0.9894285254450024), (0.9861033907726515, 0.9861159696776687, 0.9861033907726515, 0.9860982010400079)]"
64,8,35,relu,0.2,Adam,"[(0.9861111111111112, 0.9862244967074066, 0.9861111111111112, 0.9860884200249032), (0.9938888888888889, 0.9939429136293441, 0.9938888888888889, 0.993889513769245), (0.9961111111111111, 0.9961235707335574, 0.9961111111111111, 0.9960975745689713), (0.995, 0.9950107805135794, 0.995, 0.994992485227267), (0.9949972206781545, 0.9949993154858614, 0.9949972206781545, 0.9949893219555634)]"
64,8,35,relu,0.5,Adam,"[(0.9905555555555555, 0.9905993072260518, 0.9905555555555555, 0.9904579639729516), (0.9933333333333333, 0.9933369501586556, 0.9933333333333333, 0.9933314474015483), (0.9938888888888889, 0.993917898691138, 0.9938888888888889, 0.9938638364468089), (0.9922222222222222, 0.9922818004776547, 0.9922222222222222, 0.9922184953930456), (0.990550305725403, 0.990768614601459, 0.990550305725403, 0.9905601041229909)]"
64,8,60,relu,0.2,Adam,"[(0.995, 0.9950215598513279, 0.995, 0.9949869072193549), (0.9961111111111111, 0.9961110926539627, 0.9961111111111111, 0.9961101821019687), (0.9966666666666667, 0.9966675570853426, 0.9966666666666667, 0.9966652685097961), (0.9927777777777778, 0.9927767854438978, 0.9927777777777778, 0.9927754459743998), (0.9927737632017788, 0.9927945078578282, 0.9927737632017788, 0.9927780161018556)]"
64,8,60,relu,0.5,Adam,"[(0.9933333333333333, 0.9934299359305477, 0.9933333333333333, 0.9933239196797573), (0.9944444444444445, 0.9944498315605299, 0.9944444444444445, 0.9944397274325357), (0.9933333333333333, 0.9933642867724511, 0.9933333333333333, 0.9933206161779091), (0.9938888888888889, 0.9938976616803857, 0.9938888888888889, 0.9938718943653012), (0.9949972206781545, 0.995008077907166, 0.9949972206781545, 0.9949937133120416)]"
64,8,100,relu,0.2,Adam,"[(0.9955555555555555, 0.9955581802002962, 0.9955555555555555, 0.9955485623516024), (0.9977777777777778, 0.9977777777777778, 0.9977777777777778, 0.9977777777777778), (0.9955555555555555, 0.9955646887860938, 0.9955555555555555, 0.9955536774753422), (0.9961111111111111, 0.9961175480416503, 0.9961111111111111, 0.996113416301707), (0.9972206781545303, 0.9972276075991551, 0.9972206781545303, 0.9972113577008944)]"
64,8,100,relu,0.5,Adam,"[(0.9905555555555555, 0.9905467984247666, 0.9905555555555555, 0.9905438307401463), (0.9933333333333333, 0.9933406415576957, 0.9933333333333333, 0.9933332961721157), (0.9927777777777778, 0.9928032128343335, 0.9927777777777778, 0.9927758179554638), (0.995, 0.9949968993161661, 0.995, 0.9949901554537948), (0.9922178988326849, 0.9922478452258219, 0.9922178988326849, 0.992217233156584)]"
64,32,35,relu,0.2,Adam,"[(0.9933333333333333, 0.9934144555714167, 0.9933333333333333, 0.9933283928004294), (0.9977777777777778, 0.9977777777777778, 0.9977777777777778, 0.9977777777777778), (0.9944444444444445, 0.9944810710846577, 0.9944444444444445, 0.9944466717610948), (0.995, 0.9950248756218907, 0.995, 0.9949988785598736), (0.9944413563090606, 0.9944527545317775, 0.9944413563090606, 0.9944395653981629)]"
64,32,35,relu,0.5,Adam,"[(0.9883333333333333, 0.9883520866204157, 0.9883333333333333, 0.9883184990581976), (0.99, 0.9900499318984524, 0.99, 0.9900053196434843), (0.9922222222222222, 0.992270582303663, 0.9922222222222222, 0.9922126207314298), (0.9822222222222222, 0.982350575526852, 0.9822222222222222, 0.9822281940406333), (0.9877709838799333, 0.9880743931720823, 0.9877709838799333, 0.9877851766564966)]"
64,32,60,relu,0.2,Adam,"[(0.9922222222222222, 0.9922774320080716, 0.9922222222222222, 0.99221604027841), (0.9944444444444445, 0.9944553525537918, 0.9944444444444445, 0.9944434730236443), (0.995, 0.9950215598513279, 0.995, 0.9949869072193549), (0.9927777777777778, 0.9928281176599525, 0.9927777777777778, 0.9927734727978574), (0.9966648137854364, 0.9966735868827854, 0.9966648137854364, 0.9966616028322371)]"
64,32,60,relu,0.5,Adam,"[(0.9955555555555555, 0.995583103764922, 0.9955555555555555, 0.995552052788415), (0.9938888888888889, 0.9938997763579172, 0.9938888888888889, 0.9938860133461478), (0.9888888888888889, 0.9889251712826497, 0.9888888888888889, 0.9888640644733562), (0.9916666666666667, 0.9917285991360311, 0.9916666666666667, 0.9916635028158692), (0.9844357976653697, 0.9845529125113358, 0.9844357976653697, 0.9844504537486138)]"
64,32,100,relu,0.2,Adam,"[(0.9927777777777778, 0.992807247884779, 0.9927777777777778, 0.9927526106073015), (0.9955555555555555, 0.9955675572090076, 0.9955555555555555, 0.9955572701471417), (0.9977777777777778, 0.9977810119736709, 0.9977777777777778, 0.9977760266962766), (0.9972222222222222, 0.9972203080910789, 0.9972222222222222, 0.9972180264817472), (0.9972206781545303, 0.9972173459559938, 0.9972206781545303, 0.9972156417617332)]"
64,32,100,relu,0.5,Adam,"[(0.9966666666666667, 0.9966674919249277, 0.9966666666666667, 0.996662002959017), (0.9944444444444445, 0.9944596496597091, 0.9944444444444445, 0.9944384168772636), (0.9944444444444445, 0.9944628861608026, 0.9944444444444445, 0.9944246088957663), (0.9933333333333333, 0.993346541500565, 0.9933333333333333, 0.9933234299662796), (0.990550305725403, 0.990548668649102, 0.990550305725403, 0.9905443225103058)]"
64,64,35,relu,0.2,Adam,"[(0.9983333333333333, 0.9983333333333333, 0.9983333333333333, 0.9983333333333333), (0.9961111111111111, 0.9961441144114411, 0.9961111111111111, 0.9961128955495868), (0.9877777777777778, 0.987846550506306, 0.9877777777777778, 0.9877575480368276), (0.9944444444444445, 0.9944573704831803, 0.9944444444444445, 0.9944434637775466), (0.9927737632017788, 0.9927837465820789, 0.9927737632017788, 0.9927548808356044)]"
64,64,35,relu,0.5,Adam,"[(0.9833333333333333, 0.9833734191625293, 0.9833333333333333, 0.9832483150545217), (0.995, 0.994999063269003, 0.995, 0.9949990713728118), (0.995, 0.9950073619122715, 0.995, 0.9950003325975267), (0.9911111111111112, 0.9911181729014534, 0.9911111111111112, 0.9911073177968668), (0.9849916620344636, 0.9850721618799816, 0.9849916620344636, 0.9849340723796537)]"
64,64,60,relu,0.2,Adam,"[(0.9938888888888889, 0.9939365970717634, 0.9938888888888889, 0.9938864052734224), (0.9916666666666667, 0.9916788113625878, 0.9916666666666667, 0.9916629784010128), (0.9972222222222222, 0.997219844745837, 0.9972222222222222, 0.997217679404261), (0.9966666666666667, 0.9966777224986181, 0.9966666666666667, 0.9966669908367274), (0.9938854919399667, 0.9939210855682515, 0.9938854919399667, 0.9938820409630256)]"
64,64,60,relu,0.5,Adam,"[(0.9933333333333333, 0.993352634819215, 0.9933333333333333, 0.993332331481882), (0.995, 0.9950146859924747, 0.995, 0.9949971547984487), (0.9955555555555555, 0.9955749032614704, 0.9955555555555555, 0.9955442090975094), (0.9888888888888889, 0.9888908081548293, 0.9888888888888889, 0.9888605119000718), (0.9916620344635909, 0.9916896894073268, 0.9916620344635909, 0.9916547507649357)]"
64,64,100,relu,0.2,Adam,"[(0.9966666666666667, 0.996681383370125, 0.9966666666666667, 0.9966637131796946), (0.995, 0.9950036419841907, 0.995, 0.9949981311521646), (0.9922222222222222, 0.9922231373482211, 0.9922222222222222, 0.992222219521603), (0.9972222222222222, 0.9972296080913501, 0.9972222222222222, 0.997221625465759), (0.9933296275708727, 0.9933590041978891, 0.9933296275708727, 0.9933257125072467)]"
64,64,100,relu,0.5,Adam,"[(0.9888888888888889, 0.9889583505192174, 0.9888888888888889, 0.9888436228523411), (0.995, 0.995021605537089, 0.995, 0.9949953478695421), (0.9961111111111111, 0.9961090055771257, 0.9961111111111111, 0.9960973965197933), (0.9905555555555555, 0.9905737155994656, 0.9905555555555555, 0.9905545049520105), (0.9894385769872152, 0.9894829926726885, 0.9894385769872152, 0.9893909829064983)]"
128,8,35,relu,0.2,Adam,"[(0.9944444444444445, 0.9944798182179316, 0.9944444444444445, 0.9944212246728751), (0.9961111111111111, 0.9961413226749811, 0.9961111111111111, 0.9961115031797734), (0.9966666666666667, 0.9966914601907951, 0.9966666666666667, 0.9966684614700496), (0.99, 0.9900447819333339, 0.99, 0.9899944779041049), (0.9938854919399667, 0.9939084463011727, 0.9938854919399667, 0.9938880831128304)]"
128,8,35,relu,0.5,Adam,"[(0.9911111111111112, 0.9910992323112843, 0.9911111111111112, 0.991098184209503), (0.9955555555555555, 0.9955582173000922, 0.9955555555555555, 0.9955518139241439), (0.995, 0.9949994712941823, 0.995, 0.9949963823370023), (0.995, 0.995027612153748, 0.995, 0.9949838508579881), (0.990550305725403, 0.990612101997168, 0.990550305725403, 0.9905207974478623)]"
