Num Units,Batch Size,Epochs,Dense Activation,drop,optimizer,"Fold Results (accuracy, precision, recall, f1)"
256,32,10,relu,0.2,Adam,"[(0.9935, 0.9934611833226792, 0.9935, 0.9934633683877877), (0.9885, 0.9885047032702687, 0.9885, 0.9882434424903851), (0.9945, 0.9945013154124666, 0.9945, 0.994443558622625), (0.9915, 0.9915795266923499, 0.9915, 0.9913313328198505), (0.9974987493746873, 0.9974945296303921, 0.9974987493746873, 0.997495946484431)]"
256,32,10,relu,0.3,Adam,"[(0.995, 0.9949823612014933, 0.995, 0.9949660886677871), (0.997, 0.9970099667774086, 0.997, 0.9969796532006723), (0.994, 0.9940397350993377, 0.994, 0.993917183272254), (0.9935, 0.9934649649750108, 0.9935, 0.99344841913977), (0.9964982491245623, 0.9965118142912076, 0.9964982491245623, 0.9964703014015329)]"
256,32,10,relu,0.5,Adam,"[(0.9955, 0.995491337866456, 0.9955, 0.9954949857286928), (0.9945, 0.9945013154124666, 0.9945, 0.994443558622625), (0.9945, 0.994533406957482, 0.9945, 0.9944306136846924), (0.9895, 0.9896210873146623, 0.9895, 0.9892395502925985), (0.9979989994997499, 0.998013375887552, 0.9979989994997499, 0.9980034458585603)]"
256,32,50,relu,0.2,Adam,"[(0.996, 0.9960176991150442, 0.996, 0.9959636182632698), (0.992, 0.9919825278286599, 0.992, 0.9918895776963386), (0.996, 0.9959961639894509, 0.996, 0.9959728709342297), (0.996, 0.995987623179632, 0.996, 0.9959910602429136), (0.9969984992496248, 0.9969984992496248, 0.9969984992496248, 0.9969984992496248)]"
256,32,50,relu,0.3,Adam,"[(0.9955, 0.9955223880597015, 0.9955, 0.9954538206912388), (0.998, 0.9979966143118197, 0.998, 0.9979955301214568), (0.9905, 0.9904530854110685, 0.9905, 0.9903575303365466), (0.9955, 0.9955223880597015, 0.9955, 0.9954538206912388), (0.9984992496248124, 0.998501746713623, 0.9984992496248124, 0.998494175364751)]"
256,32,50,relu,0.5,Adam,"[(0.9905, 0.9905377566456448, 0.9905, 0.9903114896221858), (0.9965, 0.996513558384062, 0.9965, 0.9964722256906453), (0.994, 0.9940040709508579, 0.994, 0.9939313871723845), (0.993, 0.9930540242557884, 0.993, 0.9928866153788806), (1.0, 1.0, 1.0, 1.0)]"
512,8,5,relu,0.2,Adam,"[(0.995, 0.9949771482872528, 0.995, 0.994977522169531), (0.996, 0.995987623179632, 0.996, 0.9959910602429136), (0.989, 0.989132821075741, 0.989, 0.9887133011373762), (0.994, 0.9940040709508579, 0.994, 0.9939313871723845), (0.9939969984992496, 0.9942574933453201, 0.9939969984992496, 0.9940622039677877)]"
512,8,5,relu,0.3,Adam,"[(0.997, 0.9969953391556179, 0.997, 0.9969865133017187), (0.993, 0.9930540242557884, 0.993, 0.9928866153788806), (0.994, 0.9939685584135357, 0.994, 0.9939593064013447), (0.9905, 0.9904891668528032, 0.9905, 0.9903346446085036), (0.9979989994997499, 0.9979955864679722, 0.9979989994997499, 0.9979945019930311)]"
512,8,5,relu,0.5,Adam,"[(0.996, 0.9960176991150442, 0.996, 0.9959636182632698), (0.993, 0.9930540242557884, 0.993, 0.9928866153788806), (0.9935, 0.9934802427652314, 0.9935, 0.9934332965540114), (0.9915, 0.9915795266923499, 0.9915, 0.9913313328198505), (0.9919959979989995, 0.992066517840418, 0.9919959979989995, 0.9918460828894733)]"
512,8,10,relu,0.2,Adam,"[(0.998, 0.9979966143118197, 0.998, 0.9979955301214568), (0.9885, 0.9884542165522343, 0.9885, 0.9882718032268566), (0.9935, 0.9935549396777881, 0.9935, 0.9935214829562269), (0.9925, 0.9924487671719938, 0.9925, 0.9924404836228113), (0.9954977488744372, 0.9955201481337683, 0.9954977488744372, 0.9954512800573274)]"
512,8,10,relu,0.3,Adam,"[(0.9875, 0.9876712328767122, 0.9875, 0.9871264367816092), (0.996, 0.995987623179632, 0.996, 0.9959910602429136), (0.9945, 0.994481162778028, 0.9945, 0.9944563546567283), (0.991, 0.9910891089108911, 0.991, 0.9908103461748847), (0.9949974987493747, 0.9949744785406519, 0.9949974987493747, 0.994974881424836)]"
512,8,10,relu,0.5,Adam,"[(0.992, 0.9920704845814978, 0.992, 0.9918510324483776), (0.992, 0.9920704845814978, 0.992, 0.9918510324483776), (0.992, 0.991943215339233, 0.992, 0.9919272365265397), (0.993, 0.9930540242557884, 0.993, 0.9928866153788806), (0.9944972486243121, 0.9944984406316801, 0.9944972486243121, 0.9944404534034)]"
512,8,50,relu,0.2,Adam,"[(0.993, 0.9932048420329671, 0.993, 0.9930608323507577), (0.9935, 0.9935466078323222, 0.9935, 0.9934025207565845), (0.996, 0.9960176991150442, 0.996, 0.9959636182632698), (0.995, 0.9949823612014933, 0.995, 0.9949660886677871), (0.9954977488744372, 0.9954950136362224, 0.9954977488744372, 0.9954618160876854)]"
512,8,50,relu,0.3,Adam,"[(0.9945, 0.994533406957482, 0.9945, 0.9944306136846924), (0.997, 0.9969921187457258, 0.997, 0.9969932951821852), (0.9935, 0.9934649649750108, 0.9935, 0.99344841913977), (0.994, 0.9940397350993377, 0.994, 0.993917183272254), (0.9974987493746873, 0.9975056780467796, 0.9974987493746873, 0.9974845726816428)]"
512,8,50,relu,0.5,Adam,"[(0.9935, 0.9935466078323222, 0.9935, 0.9934025207565845), (0.9945, 0.994533406957482, 0.9945, 0.9944306136846924), (0.991, 0.9910891089108911, 0.991, 0.9908103461748847), (0.9965, 0.9965091164522026, 0.9965, 0.996503877843596), (0.9989994997498749, 0.9990006101830049, 0.9989994997498749, 0.9989972509965155)]"
512,16,5,relu,0.2,Adam,"[(0.9915, 0.9915680485538295, 0.9915, 0.9915280930966045), (0.996, 0.9960176991150442, 0.996, 0.9959636182632698), (0.994, 0.9939680528530703, 0.994, 0.9939730266034372), (0.9915, 0.9915795266923499, 0.9915, 0.9913313328198505), (0.9929964982491246, 0.9932024651904974, 0.9929964982491246, 0.993057699266652)]"
512,16,5,relu,0.3,Adam,"[(0.993, 0.9930540242557884, 0.993, 0.9928866153788806), (0.992, 0.9919498619847051, 0.992, 0.9919640354712497), (0.9935, 0.9935466078323222, 0.9935, 0.9934025207565845), (0.9915, 0.9914842595514863, 0.9915, 0.991372527143226), (0.9959979989994997, 0.995994080905979, 0.9959979989994997, 0.9959707008925699)]"
512,16,5,relu,0.5,Adam,"[(0.9915, 0.9915795266923499, 0.9915, 0.9913313328198505), (0.996, 0.9959862437214354, 0.996, 0.9959820177356248), (0.989, 0.98895326565792, 0.989, 0.9887951696165191), (0.99, 0.9901098901098901, 0.99, 0.9897644664146554), (0.9959979989994997, 0.9960157069685285, 0.9959979989994997, 0.9959613896435966)]"
512,16,10,relu,0.2,Adam,"[(0.994, 0.9940040709508579, 0.994, 0.9939313871723845), (0.9925, 0.9925619834710744, 0.9925, 0.9923694562698712), (0.9915, 0.9914842595514863, 0.9915, 0.991372527143226), (0.993, 0.992954755625578, 0.993, 0.9929525241349021), (0.9919959979989995, 0.992066517840418, 0.9919959979989995, 0.9918460828894733)]"
512,16,10,relu,0.3,Adam,"[(0.992, 0.9919569642337889, 0.992, 0.9919085162298459), (0.997, 0.9969921187457258, 0.997, 0.9969932951821852), (0.996, 0.9959862437214354, 0.996, 0.9959820177356248), (0.9905, 0.9907080945491189, 0.9905, 0.9905724412264907), (0.9949974987493747, 0.9949744785406519, 0.9949974987493747, 0.994974881424836)]"
512,16,10,relu,0.5,Adam,"[(0.9955, 0.9955113260822072, 0.9955, 0.9955049857989091), (0.9935, 0.9935466078323222, 0.9935, 0.9934025207565845), (0.993, 0.9930111314639989, 0.993, 0.9929033804842964), (0.9935, 0.9935466078323222, 0.9935, 0.9934025207565845), (0.9984992496248124, 0.9985039740548429, 0.9984992496248124, 0.9985009217689128)]"
512,16,50,relu,0.2,Adam,"[(0.9945, 0.994533406957482, 0.9945, 0.9944306136846924), (0.9955, 0.9955223880597015, 0.9955, 0.9954538206912388), (0.9955, 0.9954821490409386, 0.9955, 0.9954848709199093), (0.9965, 0.996535276363726, 0.9965, 0.9965115677456606), (0.9994997498749375, 0.9995022511255628, 0.9994997498749375, 0.9995003072563042)]"
512,16,50,relu,0.3,Adam,"[(0.992, 0.9920704845814978, 0.992, 0.9918510324483776), (0.9975, 0.9975069252077562, 0.9975, 0.9974859109183799), (0.992, 0.9919825278286599, 0.992, 0.9918895776963386), (0.994, 0.9940397350993377, 0.994, 0.993917183272254), (0.9939969984992496, 0.9940367534760757, 0.9939969984992496, 0.9939136593583833)]"
512,16,50,relu,0.5,Adam,"[(0.9945, 0.994481162778028, 0.9945, 0.9944563546567283), (0.99, 0.9901098901098901, 0.99, 0.9897644664146554), (0.996, 0.9960176991150442, 0.996, 0.9959636182632698), (0.988, 0.9881578947368421, 0.988, 0.9876567563759334), (0.9949974987493747, 0.9950251368778312, 0.9949974987493747, 0.994939962199165)]"
512,32,5,relu,0.2,Adam,"[(0.9945, 0.9945013154124666, 0.9945, 0.994443558622625), (0.9915, 0.9915795266923499, 0.9915, 0.9913313328198505), (0.994, 0.9939685584135357, 0.994, 0.9939593064013447), (0.9905, 0.9905223742322296, 0.9905, 0.990510525575475), (0.9974987493746873, 0.9974944219367655, 0.9974987493746873, 0.9974902922745852)]"
