Num Units,Batch Size,Epochs,Dense Activation,drop,optimizer,"Fold Results (accuracy, precision, recall, f1)"
32,32,100,relu,0.2,Adam,"[(0.9972222222222222, 0.9972308757355486, 0.9972222222222222, 0.9972068081035478), (1.0, 1.0, 1.0, 1.0), (0.9988888888888889, 0.9988902760438341, 0.9988888888888889, 0.9988864441577727), (0.9977777777777778, 0.9977833194790802, 0.9977777777777778, 0.9977679415881663), (0.9977765425236242, 0.9977729811195598, 0.9977765425236242, 0.9977716221284808)]"
32,32,100,relu,0.5,Adam,"[(0.9955555555555555, 0.9955421884260836, 0.9955555555555555, 0.9955457766310907), (0.9983333333333333, 0.9983364524849242, 0.9983333333333333, 0.9983278166223784), (0.9988888888888889, 0.9988902760438341, 0.9988888888888889, 0.9988864441577727), (0.9977777777777778, 0.9977833194790802, 0.9977777777777778, 0.9977679415881663), (0.9977765425236242, 0.9977820873053609, 0.9977765425236242, 0.9977666438634649)]"
32,64,35,relu,0.2,Adam,"[(0.9966666666666667, 0.9966791199667911, 0.9966666666666667, 0.9966444051075976), (0.9955555555555555, 0.9955421884260836, 0.9955555555555555, 0.9955457766310907), (0.9977777777777778, 0.9977833194790802, 0.9977777777777778, 0.9977679415881663), (0.9988888888888889, 0.9988902760438341, 0.9988888888888889, 0.9988864441577727), (0.9983324068927182, 0.9983355277781343, 0.9983324068927182, 0.9983268552127915)]"
32,64,35,relu,0.5,Adam,"[(0.9966666666666667, 0.9966791199667911, 0.9966666666666667, 0.9966444051075976), (0.9977777777777778, 0.9977833194790802, 0.9977777777777778, 0.9977679415881663), (0.9988888888888889, 0.9988902760438341, 0.9988888888888889, 0.9988864441577727), (0.9938888888888889, 0.9939421856594142, 0.9938888888888889, 0.9939087676886217), (0.9977765425236242, 0.9977820873053609, 0.9977765425236242, 0.9977666438634649)]"
32,64,60,relu,0.2,Adam,"[(0.9977777777777778, 0.9977935841143564, 0.9977777777777778, 0.9977826108150097), (1.0, 1.0, 1.0, 1.0), (0.9988888888888889, 0.9988888888888889, 0.9988888888888889, 0.9988888888888889), (0.9977777777777778, 0.9977833194790802, 0.9977777777777778, 0.9977679415881663), (0.9977765425236242, 0.9977820873053609, 0.9977765425236242, 0.9977666438634649)]"
32,64,60,relu,0.5,Adam,"[(0.9972222222222222, 0.9972308757355486, 0.9972222222222222, 0.9972068081035478), (0.9983333333333333, 0.9983364524849242, 0.9983333333333333, 0.9983278166223784), (0.9988888888888889, 0.9988902760438341, 0.9988888888888889, 0.9988864441577727), (0.9966666666666667, 0.9966791199667911, 0.9966666666666667, 0.9966444051075976), (0.9977765425236242, 0.9977729811195598, 0.9977765425236242, 0.9977716221284808)]"
32,64,100,relu,0.2,Adam,"[(0.9966666666666667, 0.9966791199667911, 0.9966666666666667, 0.9966444051075976), (0.9988888888888889, 0.9988888888888889, 0.9988888888888889, 0.9988888888888889), (1.0, 1.0, 1.0, 1.0), (0.9983333333333333, 0.9983364524849242, 0.9983333333333333, 0.9983278166223784), (0.9988882712618121, 0.9988896591878274, 0.9988882712618121, 0.9988858110642405)]"
32,64,100,relu,0.5,Adam,"[(0.9972222222222222, 0.9972308757355486, 0.9972222222222222, 0.9972068081035478), (0.9977777777777778, 0.9977833194790802, 0.9977777777777778, 0.9977679415881663), (0.9988888888888889, 0.9988902760438341, 0.9988888888888889, 0.9988864441577727), (0.9977777777777778, 0.9977833194790802, 0.9977777777777778, 0.9977679415881663), (0.9916620344635909, 0.9916203541818444, 0.9916620344635909, 0.9915772722286355)]"
64,8,35,relu,0.2,Adam,"[(0.9972222222222222, 0.9972308757355486, 0.9972222222222222, 0.9972068081035478), (0.9994444444444445, 0.9994447914497884, 0.9994444444444445, 0.9994438350379751), (0.9994444444444445, 0.9994447914497884, 0.9994444444444445, 0.9994438350379751), (0.9983333333333333, 0.9983364524849242, 0.9983333333333333, 0.9983278166223784), (0.9977765425236242, 0.9977729811195598, 0.9977765425236242, 0.9977716221284808)]"
64,8,35,relu,0.5,Adam,"[(0.9972222222222222, 0.9972308757355486, 0.9972222222222222, 0.9972068081035478), (0.9994444444444445, 0.9994447914497884, 0.9994444444444445, 0.9994438350379751), (0.9988888888888889, 0.9988902760438341, 0.9988888888888889, 0.9988864441577727), (0.9983333333333333, 0.9983364524849242, 0.9983333333333333, 0.9983278166223784), (0.9977765425236242, 0.9977820873053609, 0.9977765425236242, 0.9977666438634649)]"
64,8,60,relu,0.2,Adam,"[(0.9972222222222222, 0.9972308757355486, 0.9972222222222222, 0.9972068081035478), (0.9988888888888889, 0.9988902760438341, 0.9988888888888889, 0.9988864441577727), (0.9988888888888889, 0.9988888888888889, 0.9988888888888889, 0.9988888888888889), (0.9988888888888889, 0.9988902760438341, 0.9988888888888889, 0.9988864441577727), (0.9972206781545303, 0.9972163312069866, 0.9972206781545303, 0.9972114253546527)]"
64,8,60,relu,0.5,Adam,"[(0.9972222222222222, 0.9972308757355486, 0.9972222222222222, 0.9972068081035478), (1.0, 1.0, 1.0, 1.0), (0.9983333333333333, 0.9983364524849242, 0.9983333333333333, 0.9983278166223784), (0.9988888888888889, 0.9988902760438341, 0.9988888888888889, 0.9988864441577727), (0.9988882712618121, 0.9988896591878274, 0.9988882712618121, 0.9988858110642405)]"
64,8,100,relu,0.2,Adam,"[(0.9988888888888889, 0.9988902760438341, 0.9988888888888889, 0.9988864441577727), (0.9988888888888889, 0.9988902760438341, 0.9988888888888889, 0.9988864441577727), (0.9988888888888889, 0.9988888888888889, 0.9988888888888889, 0.9988888888888889), (0.9988888888888889, 0.9988902760438341, 0.9988888888888889, 0.9988864441577727), (0.9977765425236242, 0.9977820873053609, 0.9977765425236242, 0.9977666438634649)]"
64,8,100,relu,0.5,Adam,"[(0.9972222222222222, 0.9972308757355486, 0.9972222222222222, 0.9972068081035478), (1.0, 1.0, 1.0, 1.0), (0.9988888888888889, 0.9988902760438341, 0.9988888888888889, 0.9988864441577727), (0.9977777777777778, 0.9977833194790802, 0.9977777777777778, 0.9977679415881663), (0.9977765425236242, 0.9977820873053609, 0.9977765425236242, 0.9977666438634649)]"
