Num Units,Batch Size,Epochs,Dense Activation,drop,optimizer,"Fold Results (accuracy, precision, recall, f1)"
64,8,35,relu,0.5,Adam,"[(0.9985007496251874, 0.998522797424817, 0.9985007496251874, 0.9985044236444851), (1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985082085822761, 0.9985007496251874, 0.9984969827350777), (0.996996996996997, 0.9970853206147323, 0.996996996996997, 0.9970118622334929), (1.0, 1.0, 1.0, 1.0)]"
64,8,60,relu,0.2,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9970014992503748, 0.9970089582074635, 0.9970014992503748, 0.9969977323602651), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
64,8,60,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985082085822761, 0.9985007496251874, 0.9984969827350777), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
64,8,100,relu,0.2,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9970014992503748, 0.9970089582074635, 0.9970014992503748, 0.9969977323602651), (0.9984984984984985, 0.9985209089686702, 0.9984984984984985, 0.9985022616601563), (0.9984984984984985, 0.9985059686552225, 0.9984984984984985, 0.998494639773123)]"
64,8,100,relu,0.5,Adam,"[(0.9985007496251874, 0.9985082085822761, 0.9985007496251874, 0.9984969827350777), (1.0, 1.0, 1.0, 1.0), (0.9970014992503748, 0.9970089582074635, 0.9970014992503748, 0.9969977323602651), (0.9984984984984985, 0.9985209089686702, 0.9984984984984985, 0.9985022616601563), (1.0, 1.0, 1.0, 1.0)]"
64,32,35,relu,0.2,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985082085822761, 0.9985007496251874, 0.9984969827350777), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
64,32,35,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9970014992503748, 0.9970089582074635, 0.9970014992503748, 0.9969977323602651), (0.9954954954954955, 0.9955178308887151, 0.9954954954954955, 0.9954954861110527), (1.0, 1.0, 1.0, 1.0)]"
64,32,60,relu,0.2,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9955022488755623, 0.9955244030803146, 0.9955022488755623, 0.9955021927931781), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
64,32,60,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985082085822761, 0.9985007496251874, 0.998500740254814), (0.9984984984984985, 0.9985209089686702, 0.9984984984984985, 0.9985022616601563), (1.0, 1.0, 1.0, 1.0)]"
64,32,100,relu,0.2,Adam,"[(1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985082085822761, 0.9985007496251874, 0.998500740254814), (0.9970014992503748, 0.9970089582074635, 0.9970014992503748, 0.9969977323602651), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
64,32,100,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985082085822761, 0.9985007496251874, 0.998500740254814), (0.9970014992503748, 0.9970089582074635, 0.9970014992503748, 0.9969977323602651), (1.0, 1.0, 1.0, 1.0), (0.9954954954954955, 0.9955620645275818, 0.9954954954954955, 0.9954952421028639)]"
64,64,35,relu,0.2,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.992503748125937, 0.9925998327209457, 0.992503748125937, 0.9925032313109854), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
64,64,35,relu,0.5,Adam,"[(0.9985007496251874, 0.9985082085822761, 0.9985007496251874, 0.9984969827350777), (1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985082085822761, 0.9985007496251874, 0.998500740254814), (0.9984984984984985, 0.9985209089686702, 0.9984984984984985, 0.9985022616601563), (1.0, 1.0, 1.0, 1.0)]"
