Num Units,Batch Size,Epochs,Dense Activation,drop,optimizer,"Fold Results (accuracy, precision, recall, f1)"
32,32,100,relu,0.2,Adam,"[(0.9915, 0.9915255751619388, 0.9915, 0.9913520504391875), (0.9965, 0.9964889313073811, 0.9965, 0.9964882329377073), (0.9965, 0.996495489736487, 0.9965, 0.9964802752857319), (0.9975, 0.9975069252077562, 0.9975, 0.9974859109183799), (0.9979989994997499, 0.9979955864679722, 0.9979989994997499, 0.9979945019930311)]"
32,32,100,relu,0.5,Adam,"[(0.996, 0.9959961639894509, 0.996, 0.9959728709342297), (1.0, 1.0, 1.0, 1.0), (0.9975, 0.9975069252077562, 0.9975, 0.9974859109183799), (0.9955, 0.9955223880597015, 0.9955, 0.9954538206912388), (0.9969984992496248, 0.9969937837188536, 0.9969984992496248, 0.9969849288549016)]"
32,64,35,relu,0.2,Adam,"[(0.994, 0.9939786320474444, 0.994, 0.9939865903643705), (0.9985, 0.9984980426842709, 0.9985, 0.998498328576231), (0.998, 0.9980044345898005, 0.998, 0.9979910088678124), (0.996, 0.9960565963579195, 0.996, 0.9960175772860934), (0.9944972486243121, 0.9944696553662787, 0.9944972486243121, 0.9944660598996141)]"
32,64,35,relu,0.5,Adam,"[(0.993, 0.9930111314639989, 0.993, 0.9929033804842964), (0.9955, 0.9954840542652177, 0.9955, 0.9954746396530838), (0.9945, 0.9945013154124666, 0.9945, 0.994443558622625), (0.9945, 0.9945013154124666, 0.9945, 0.994443558622625), (0.9934967483741871, 0.9934651228293355, 0.9934967483741871, 0.9934747599139213)]"
32,64,60,relu,0.2,Adam,"[(0.995, 0.9949823612014933, 0.995, 0.9949660886677871), (0.9965, 0.996535276363726, 0.9965, 0.9965115677456606), (0.9965, 0.996513558384062, 0.9965, 0.9964722256906453), (0.9965, 0.996513558384062, 0.9965, 0.9964722256906453), (0.992496248124062, 0.9924772089159116, 0.992496248124062, 0.9924010347985256)]"
32,64,60,relu,0.5,Adam,"[(0.9955, 0.995497360581045, 0.9955, 0.9954642901736869), (0.995, 0.9950276243093923, 0.995, 0.9949428226436537), (0.9975, 0.9975069252077562, 0.9975, 0.9974859109183799), (0.9975, 0.9974957135738236, 0.9975, 0.9974915949555052), (0.9959979989994997, 0.995994080905979, 0.9959979989994997, 0.9959707008925699)]"
32,64,100,relu,0.2,Adam,"[(0.995, 0.9949831276135382, 0.995, 0.994988825303642), (0.9975, 0.9975069252077562, 0.9975, 0.9974859109183799), (0.998, 0.998, 0.998, 0.998), (0.999, 0.9990011098779135, 0.999, 0.9989977650607283), (0.9894947473736868, 0.9894902212910419, 0.9894947473736868, 0.9892850657094988)]"
32,64,100,relu,0.5,Adam,"[(0.9935, 0.9935073434245162, 0.9935, 0.9934179979910001), (1.0, 1.0, 1.0, 1.0), (0.998, 0.9980044345898005, 0.998, 0.9979910088678124), (0.993, 0.9930540242557884, 0.993, 0.9928866153788806), (0.9954977488744372, 0.9955201481337683, 0.9954977488744372, 0.9954512800573274)]"
64,8,35,relu,0.2,Adam,"[(0.995, 0.9949823612014933, 0.995, 0.9949660886677871), (0.9965, 0.996535276363726, 0.9965, 0.9965115677456606), (0.993, 0.9930111314639989, 0.993, 0.9929033804842964), (0.9955, 0.9954840542652177, 0.9955, 0.9954746396530838), (0.9919959979989995, 0.992066517840418, 0.9919959979989995, 0.9918460828894733)]"
64,8,35,relu,0.5,Adam,"[(0.9955, 0.9954840542652177, 0.9955, 0.9954746396530838), (0.997, 0.9969953391556179, 0.997, 0.9969865133017187), (0.997, 0.9969953391556179, 0.997, 0.9969865133017187), (0.9945, 0.994533406957482, 0.9945, 0.9944306136846924), (0.9944972486243121, 0.994478212981237, 0.9944972486243121, 0.9944533307738376)]"
